Year,SOURCE_DETAIL,SDG Series,Unit of measure,Observation status,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2001,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,27.55836
2002,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,24.9686
2003,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,26.75144
2004,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,25.69348
2005,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,26.71344
2006,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,25.1722
2007,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,23.04699
2008,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,24.06725
2009,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,27.79258
2010,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,24.3861
2011,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,26.15782
2012,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,26.25251
2013,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,25.04967
2014,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,24.9746
2015,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,23.75553
2016,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,23.37681
2017,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,24.95771
2018,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,21.98094
2019,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,20.73613
2020,FAO calculation based on WB national account data,Agriculture value added share of GDP [2.a.1],Percent,Normal value,Country Data,FAO calculation based on WB national account data,,,24.02821
2001,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.146
2002,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.167
2003,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.156
2004,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.093
2005,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.115
2006,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.133
2007,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.173
2008,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.148
2009,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.138
2010,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.195
2011,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.138
2012,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.131
2013,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.185
2014,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.18
2015,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.162
2016,FAO Questionnaire. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.17
2017,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.208
2018,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.148
2019,IMF data. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,Missing value,Not Available,NA,Consolidated General Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,0.168
2001,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.02
2002,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.17
2003,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.17
2004,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,2.39
2005,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.06
2006,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.35
2007,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.98
2008,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.57
2009,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.83
2010,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.77
2011,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.62
2012,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.44
2013,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.64
2014,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,4.5
2015,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.85
2016,FAO Questionnaire.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.99
2017,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,5.2
2018,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Budgetary Central Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.25
2019,IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,Missing value,Not Available,NA,Consolidated General Government Expenditure,Obs_Value = NaN;  NaN = A figure was not provided,3.48
